acropolis athens,0005,1,3,0.3333333333333333
acropolis athens,0006,1,3,0.3333333333333333
acropolis athens,0012,1,2,0.5
acropolis athens,02122007,11,1,11.0
acropolis athens,0381,1,1,1.0
acropolis athens,0385,1,1,1.0
acropolis athens,0400,1,1,1.0
acropolis athens,0401,1,1,1.0
acropolis athens,0402,1,1,1.0
acropolis athens,0403,1,1,1.0
acropolis athens,0409,1,1,1.0
acropolis athens,0419,1,1,1.0
acropolis athens,0429,1,1,1.0
acropolis athens,0435,1,1,1.0
acropolis athens,0449,1,1,1.0
acropolis athens,0453,1,1,1.0
acropolis athens,08_04_000383,1,1,1.0
acropolis athens,08_04_000384,1,1,1.0
acropolis athens,08_04_000385,1,1,1.0
acropolis athens,08_04_000388,1,1,1.0
acropolis athens,08_04_000404,1,1,1.0
acropolis athens,08_04_000408,1,1,1.0
acropolis athens,08_04_000409,1,1,1.0
acropolis athens,08_04_000410,1,1,1.0
acropolis athens,08_04_000411,1,1,1.0
acropolis athens,08_04_000412,1,1,1.0
acropolis athens,08_04_000413,1,1,1.0
acropolis athens,08_04_000414,1,1,1.0
acropolis athens,08_04_000429,1,1,1.0
acropolis athens,08_04_000430,1,1,1.0
acropolis athens,08_04_000431,1,1,1.0
acropolis athens,1,17,129,0.13178294573643412
acropolis athens,1.9,5,4,1.25
acropolis athens,10,1,114,0.008771929824561403
acropolis athens,10.4,5,1,5.0
acropolis athens,100,1,54,0.018518518518518517
acropolis athens,1000view,1,1,1.0
acropolis athens,100view,7,5,1.4
acropolis athens,101.4,5,1,5.0
acropolis athens,104,16,8,2.0
acropolis athens,108,15,10,1.5
acropolis athens,110,5,12,0.4166666666666667
acropolis athens,12,2,98,0.02040816326530612
acropolis athens,1204,1,3,0.3333333333333333
acropolis athens,13,7,86,0.08139534883720931
acropolis athens,1311,1,1,1.0
acropolis athens,14,1,87,0.011494252873563218
acropolis athens,1456,1,2,0.5
acropolis athens,1463,2,1,2.0
acropolis athens,150,2,31,0.06451612903225806
acropolis athens,16,6,65,0.09230769230769231
acropolis athens,161,1,6,0.16666666666666666
acropolis athens,1656,1,4,0.25
acropolis athens,1686,1,3,0.3333333333333333
acropolis athens,1687,5,2,2.5
acropolis athens,17,000,2,1,2.0
acropolis athens,1827,2,3,0.6666666666666666
acropolis athens,1835,2,6,0.3333333333333333
acropolis athens,1837,2,7,0.2857142857142857
acropolis athens,1853,1,9,0.1111111111111111
acropolis athens,1874,1,10,0.1
acropolis athens,1885,2,14,0.14285714285714285
acropolis athens,1887,1,14,0.07142857142857142
acropolis athens,1888,1,13,0.07692307692307693
acropolis athens,1889,1,12,0.08333333333333333
acropolis athens,1890,2,11,0.18181818181818182
acropolis athens,1896,15,11,1.3636363636363635
acropolis athens,1897,1,17,0.058823529411764705
acropolis athens,19,1,54,0.018518518518518517
acropolis athens,19.2,5,2,2.5
acropolis athens,1942,1,10,0.1
acropolis athens,1952,1,5,0.2
acropolis athens,1970,2,27,0.07407407407407407
acropolis athens,19th,5,45,0.1111111111111111
acropolis athens,1st,2,26,0.07692307692307693
acropolis athens,2,1,136,0.007352941176470588
acropolis athens,2.36,5,1,5.0
acropolis athens,20,7,85,0.08235294117647059
acropolis athens,2004,15,46,0.32608695652173914
acropolis athens,2006,16,71,0.22535211267605634
acropolis athens,2007,45,89,0.5056179775280899
acropolis athens,2008,1,90,0.011111111111111112
acropolis athens,2009,8,94,0.0851063829787234
acropolis athens,200view,3,3,1.0
acropolis athens,2010,15,98,0.15306122448979592
acropolis athens,20th,7,27,0.25925925925925924
acropolis athens,21,2,69,0.028985507246376812
acropolis athens,228.0,5,1,5.0
acropolis athens,24112007,3,1,3.0
acropolis athens,25,1,69,0.014492753623188406
acropolis athens,26,3,56,0.05357142857142857
acropolis athens,27,1,52,0.019230769230769232
acropolis athens,28,1,55,0.01818181818181818
acropolis athens,29,1,48,0.020833333333333332
acropolis athens,29.8,5,1,5.0
acropolis athens,2nd,4,21,0.19047619047619047
acropolis athens,3,17,127,0.13385826771653545
acropolis athens,3,370,2,1,2.0
acropolis athens,3,400,15,1,15.0
acropolis athens,30,1,70,0.014285714285714285
acropolis athens,30,000,2,4,0.5
acropolis athens,30.9,5,1,5.0
acropolis athens,300view,2,2,1.0
acropolis athens,31,1,43,0.023255813953488372
acropolis athens,32,1,25,0.04
acropolis athens,326,2,1,2.0
acropolis athens,33,15,29,0.5172413793103449
acropolis athens,330,2,5,0.4
acropolis athens,34.1,5,1,5.0
acropolis athens,342,2,3,0.6666666666666666
acropolis athens,35,1,33,0.030303030303030304
acropolis athens,39,14,22,0.6363636363636364
acropolis athens,395,2,1,2.0
acropolis athens,399,1,2,0.5
acropolis athens,3rd,2,28,0.07142857142857142
acropolis athens,4,5,121,0.04132231404958678
acropolis athens,4.33,5,1,5.0
acropolis athens,400view,1,2,0.5
acropolis athens,406,1,2,0.5
acropolis athens,407,12,3,4.0
acropolis athens,4098b,15,1,15.0
acropolis athens,410,2,3,0.6666666666666666
acropolis athens,420,1,5,0.2
acropolis athens,421,14,2,7.0
acropolis athens,421bce,10,1,10.0
acropolis athens,430,2,5,0.4
acropolis athens,431,3,2,1.5
acropolis athens,432,11,5,2.2
acropolis athens,437,3,1,3.0
acropolis athens,438,10,1,10.0
acropolis athens,442,5,1,5.0
acropolis athens,447,16,2,8.0
