angel of the north,4846290218,0.122531318,0.18037279,0.199882565,0.235917256,0.084716602,0.004924071,0.012787192,0.004536081,0.003343891,0.128083601,0.022904633
angel of the north,4846290218,0.122531318,0.18037279,0.199882565,0.235917256,0.084716602,0.004924071,0.012787192,0.004536081,0.003343891,0.128083601,0.022904633
big ben,5055989143,0.112936289,0.080453031,0.319855908,0.157243685,0.054664285,0.029865199,0.057491346,0.013850277,0.026530871,0.126375329,0.020733781
hearst castle,3898404671,0.202753394,0.237579828,0.119547886,0.17749813,0.08796344,0.006906353,0.010981607,0.006473927,0.0054555,0.113357631,0.031482304
la madeleine,4290327794,0.145118199,0.065288183,0.277608076,0.244126827,0.054971226,0.026999986,0.015862013,0.014799136,0.018228981,0.0977735,0.039223872
pont alexandre iii,4425681477,0.255187382,0.051612641,0.173653075,0.306311264,0.049153136,0.003374213,0.006961554,0.006838169,0.024914317,0.098026469,0.023967782
neues museum,2761049886,0.170031183,0.209442561,0.11029201,0.170491656,0.077913402,0.024192836,0.011390681,0.013104761,0.01310014,0.18756909,0.012471682
montezuma castle,5714329354,0.280341732,0.095966763,0.145036035,0.20900334,0.082900099,0.012909009,0.015271388,0.013715924,0.006097509,0.122633756,0.016124444
cn tower,3826423915,0.12989223,0.048080952,0.146035472,0.437171261,0.103453174,0.003658841,0.008722541,0.003802833,0.00251272,0.10836822,0.008301755
acropolis athens,5473571794,0.203370469,0.106548229,0.129573977,0.257120944,0.065891625,0.015778094,0.02471618,0.010639823,0.010601264,0.14332473,0.032434666
agra fort,4392920377,0.145050515,0.129936534,0.246492921,0.22035563,0.084709693,0.007254778,0.016171197,0.008763067,0.007380284,0.105718593,0.02816679
albert memorial,4866000778,0.261111875,0.170138959,0.17951316,0.147672209,0.058338939,0.015326578,0.011995143,0.016728109,0.013837024,0.095799402,0.029538602
altes museum,5008351877,0.256911417,0.14704657,0.132948901,0.194540296,0.034849471,0.019037779,0.012960825,0.009799111,0.013343772,0.165012062,0.013549797
amiens cathedral,5437354072,0.244285162,0.087983289,0.106271236,0.124958568,0.266223136,0.014508608,0.021419764,0.015403804,0.01098328,0.073728443,0.03423471
angkor wat,4073972013,0.247672057,0.176876664,0.137792975,0.160318,0.061846111,0.01505021,0.005440472,0.005668106,0.006686494,0.161302992,0.021345918
ara pacis,4096302373,0.174285385,0.266919769,0.135514499,0.151400359,0.096850245,0.023835439,0.015775115,0.011417077,0.011414141,0.08916681,0.02342116
arc de triomphe,3860640634,0.184929447,0.12473458,0.249497269,0.169656271,0.046140254,0.05696603,0.010307214,0.009861333,0.019688237,0.092296201,0.035923164
aztec ruins,6334323936,0.213642924,0.103085625,0.203364372,0.125923113,0.071364946,0.02250461,0.053335325,0.02590921,0.043929729,0.078843761,0.058096385
berlin cathedral,5359660879,0.161523859,0.273170155,0.062592351,0.232043712,0.101783716,0.001037108,0.01138596,0.006038368,0.003237001,0.129989962,0.017197808
bok tower gardens,4455028107,0.286319413,0.090218759,0.17744437,0.210801785,0.050258801,0.012404341,0.012651003,0.027934387,0.015271131,0.098128346,0.018567664
brandenburg gate,4213763167,0.166808452,0.133797556,0.137294952,0.249737388,0.127633724,0.004747888,0.013536404,0.008766398,0.007982422,0.1251744,0.024520416
cabrillo,5528327227,0.175479832,0.316450799,0.070730718,0.1602908,0.079488567,0.01250188,0.011056671,0.007719557,0.007557742,0.138593479,0.020129956
casa batllo,5518669862,0.261657302,0.139281115,0.130282194,0.152924622,0.060851865,0.021185403,0.027827418,0.029119974,0.043690956,0.110444817,0.022734333
casa rosada,3752998210,0.238376584,0.262349265,0.071970977,0.202705175,0.062143039,0.005807215,0.012975032,0.026645449,0.008802785,0.097731076,0.010493402
castillo de san marcos,5293494145,0.362274555,0.071184862,0.156015725,0.195486898,0.047489321,0.009128971,0.009649209,0.011202373,0.012997335,0.102670567,0.021900182
chartres cathedral,4420346273,0.241774989,0.119664564,0.203554411,0.213890465,0.043970458,0.017094946,0.018113286,0.012220126,0.010922705,0.095038925,0.023755125
chichen itza,5424923967,0.19774269,0.211582769,0.145073698,0.155137064,0.077516886,0.021098018,0.02414838,0.019467323,0.019359657,0.098150968,0.030722548
christ the redeemer rio,4690213664,0.224672781,0.176814477,0.146046443,0.203715303,0.072966101,0.015824645,0.01526211,0.006449458,0.011423197,0.104432434,0.022393051
civic center san francisco,5411170768,0.122288654,0.095000555,0.306821236,0.221430464,0.094001641,0.004677199,0.033942653,0.013412393,0.007369173,0.081322276,0.019733756
cologne cathedral,5370563700,0.193197491,0.039797401,0.281157915,0.263407171,0.067830174,0.01815643,0.009207792,0.004525088,0.005942873,0.070590661,0.046187005
colosseum,6792981068,0.228139565,0.196884996,0.093162443,0.196611056,0.045188845,0.005152232,0.018539526,0.011503548,0.001458868,0.186350631,0.017008292
