angel of the north,4846290218,0.072399223,0.366844019,0.126620399,0.176334229,0.049659131,0.002033862,0.009835921,0.003176762,0.004064177,0.179724256,0.00930802,0.066916854,0.340818269,0.137678348,0.177548998,0.036771518,0.002601934,0.011482455,0.002434282,0.002315599,0.206162556,0.015269186,0.072022381,0.36864487,0.130323598,0.171796023,0.043535416,0.002417214,0.007789873,0.002839936,0.000485628,0.191064411,0.009080651,0.119440729,0.158402741,0.205883088,0.265182191,0.08926494,0.005945411,0.012684005,0.004113952,0.004841302,0.112835486,0.021406154,0.117005448,0.096915029,0.246674377,0.290701338,0.066402473,0.005712964,0.016511553,0.004536882,0.003565759,0.119297085,0.032677093,0.117351806,0.153723662,0.216250377,0.266021233,0.082091158,0.006064381,0.012855758,0.005146946,0.002724524,0.117503228,0.020266928,0.180639858,0.055294976,0.2324956,0.265640544,0.13519701,0.007274789,0.013997888,0.006520983,0.003526275,0.070293954,0.029118123,0.174478203,0.030177619,0.267748769,0.255486466,0.11944779,0.006091157,0.015504359,0.00548483,0.004632565,0.081562376,0.039385867,0.179199161,0.052556165,0.237668166,0.25422568,0.13937007,0.00609646,0.014537592,0.006511244,0.003971463,0.076073516,0.029790484
angel of the north,4846290218,0.072399223,0.366844019,0.126620399,0.176334229,0.049659131,0.002033862,0.009835921,0.003176762,0.004064177,0.179724256,0.00930802,0.066916854,0.340818269,0.137678348,0.177548998,0.036771518,0.002601934,0.011482455,0.002434282,0.002315599,0.206162556,0.015269186,0.072022381,0.36864487,0.130323598,0.171796023,0.043535416,0.002417214,0.007789873,0.002839936,0.000485628,0.191064411,0.009080651,0.119440729,0.158402741,0.205883088,0.265182191,0.08926494,0.005945411,0.012684005,0.004113952,0.004841302,0.112835486,0.021406154,0.117005448,0.096915029,0.246674377,0.290701338,0.066402473,0.005712964,0.016511553,0.004536882,0.003565759,0.119297085,0.032677093,0.117351806,0.153723662,0.216250377,0.266021233,0.082091158,0.006064381,0.012855758,0.005146946,0.002724524,0.117503228,0.020266928,0.180639858,0.055294976,0.2324956,0.265640544,0.13519701,0.007274789,0.013997888,0.006520983,0.003526275,0.070293954,0.029118123,0.174478203,0.030177619,0.267748769,0.255486466,0.11944779,0.006091157,0.015504359,0.00548483,0.004632565,0.081562376,0.039385867,0.179199161,0.052556165,0.237668166,0.25422568,0.13937007,0.00609646,0.014537592,0.006511244,0.003971463,0.076073516,0.029790484
big ben,5055989143,0.081821148,0.181424611,0.2570893,0.12128796,0.025172856,0.025224394,0.047616471,0.012074403,0.019375172,0.215164352,0.013749332,0.054975794,0.182325581,0.260660768,0.121753757,0.02442581,0.023637727,0.055338419,0.013007761,0.021966619,0.224179975,0.017727789,0.089361699,0.176384392,0.246649593,0.122976607,0.026248439,0.020329988,0.049456866,0.011658138,0.023647904,0.219302481,0.013983894,0.106326173,0.049270268,0.355912115,0.174172928,0.044048153,0.041178871,0.061901183,0.014050097,0.028714872,0.100169192,0.024256147,0.109890406,0.034891697,0.380643806,0.165117484,0.038342571,0.046191731,0.066066335,0.015324911,0.027158012,0.087643654,0.028729392,0.127149086,0.047475997,0.352563879,0.165262878,0.039175323,0.03789442,0.058842881,0.013198642,0.031513858,0.107695411,0.019227625,0.151156817,0.019149097,0.337735988,0.177121118,0.09956058,0.027735638,0.059471156,0.015658326,0.028290301,0.060157135,0.023963844,0.140281212,0.016605465,0.344193128,0.187104962,0.098422851,0.024751171,0.059330474,0.015476804,0.026280508,0.064681513,0.022871912,0.152770207,0.017182683,0.343997084,0.178955374,0.096216599,0.022324666,0.059900837,0.014147523,0.031717176,0.060220484,0.022567367
hearst castle,3898404671,0.147838047,0.399155666,0.072650189,0.123875386,0.070797854,0.00440371,0.007746346,0.004608531,0.001721437,0.152053624,0.01514921,0.129207105,0.339586879,0.102504564,0.147244894,0.067272985,0.008012209,0.009604642,0.00771702,0.00298991,0.154630177,0.031229616,0.147257573,0.388232937,0.078393133,0.123773665,0.069070542,0.006481051,0.005468016,0.005289575,0.00188637,0.154485962,0.019661176,0.179179293,0.27892413,0.09603861,0.183845197,0.097223242,0.006830598,0.010854234,0.005421106,0.005838757,0.110999571,0.024845262,0.190534616,0.14964664,0.168292227,0.212671558,0.082029543,0.014621514,0.014434911,0.00947939,0.007305361,0.098348979,0.05263526,0.166152538,0.282616327,0.105547639,0.17598608,0.084387544,0.005590831,0.012838079,0.005123113,0.004160511,0.132491465,0.025105871,0.289367346,0.111370164,0.136881017,0.211503595,0.118138919,0.003352194,0.009968495,0.006840009,0.008537758,0.072226568,0.031813935,0.290232747,0.072056296,0.177190623,0.210422663,0.095302768,0.00780793,0.0152214,0.008044078,0.008147802,0.06944209,0.046131603,0.279396372,0.121865272,0.138761941,0.207081363,0.106539428,0.005200188,0.012720171,0.005785334,0.008456702,0.077060157,0.037133073
la madeleine,4290327794,0.126453777,0.102406883,0.221955221,0.257315275,0.040162568,0.014540877,0.014715345,0.014467403,0.020005175,0.14870915,0.039268327,0.091272093,0.100050472,0.275806287,0.22445399,0.040117013,0.027229533,0.022546864,0.014147381,0.019110667,0.137120759,0.048144941,0.122862006,0.115672706,0.233322876,0.251061847,0.044201096,0.014912377,0.012614802,0.013792158,0.018121017,0.138043511,0.035395605,0.149513226,0.054901797,0.287274176,0.241037134,0.053255342,0.028528094,0.014443617,0.014802398,0.025175796,0.089053849,0.04201457,0.118608491,0.049773804,0.328635486,0.211247778,0.052538541,0.055660648,0.026080547,0.0163753,0.018098582,0.07606189,0.046918934,0.136807981,0.067154112,0.268009927,0.264281971,0.055284604,0.02438802,0.013504966,0.01445467,0.018013841,0.092942527,0.045157381,0.193128236,0.033557686,0.281286172,0.257541831,0.067786156,0.020878793,0.011986331,0.015742232,0.018842966,0.068398817,0.03085078,0.173186658,0.029437787,0.323918885,0.224456129,0.070116453,0.03926709,0.015313383,0.015189859,0.011488461,0.061623654,0.036001642,0.191533284,0.035187901,0.279313039,0.264978168,0.070775685,0.018387928,0.011856418,0.014294557,0.015188258,0.068089655,0.030395107
pont alexandre iii,4425681477,0.200442519,0.094505994,0.158084167,0.278575306,0.045023791,0.001105159,0.005469403,0.005529061,0.020972714,0.166571218,0.023720668,0.186462387,0.085387372,0.203338363,0.281238718,0.047298958,0.002454288,0.00697725,0.00632611,0.009268894,0.146174536,0.025073125,0.205891566,0.093589961,0.142849407,0.271328842,0.042382846,0.002686114,0.005810638,0.006251505,0.032718843,0.16691602,0.029574258,0.239830791,0.053011912,0.180509432,0.329919252,0.04900678,0.00154525,0.006379381,0.006141476,0.025377079,0.085703329,0.022575318,0.217869381,0.035960831,0.197553948,0.357398978,0.053086848,0.003892286,0.008269065,0.008385973,0.011797806,0.079755526,0.026029358,0.239246603,0.040044345,0.158368101,0.332335212,0.050913689,0.003630792,0.008593016,0.007034452,0.036995833,0.09728657,0.025551389,0.343724174,0.025682632,0.172198627,0.293154055,0.051442796,0.004484254,0.00612451,0.006272083,0.028040931,0.048981792,0.019894146,0.322594923,0.015184698,0.19475438,0.307876741,0.050807546,0.005916925,0.007827517,0.009273715,0.020904148,0.040938216,0.02392119,0.335984344,0.021780121,0.156226651,0.306925793,0.052621454,0.004620001,0.007289038,0.006361078,0.038334262,0.050443119,0.019414138
neues museum,2761049886,0.135156944,0.263117547,0.086368405,0.158012624,0.024125793,0.015424761,0.011669285,0.014790401,0.007532914,0.276046951,0.007754377,0.163567149,0.256540365,0.086463319,0.156800566,0.021777842,0.020488798,0.01190158,0.01474,0.011477617,0.247530176,0.008712588,0.136655451,0.278710069,0.069194917,0.1634346,0.03159469,0.02165516,0.012464109,0.015481617,0.012937228,0.248683535,0.009188624,0.139926721,0.228678597,0.121874829,0.1827144,0.049042936,0.021973862,0.012946416,0.013552174,0.015899614,0.198284348,0.015106102,0.236355257,0.171991602,0.156514365,0.165679077,0.043391143,0.038781179,0.011643575,0.013564895,0.025153663,0.127025104,0.00990014,0.145265679,0.254538768,0.106505591,0.179271512,0.061118606,0.019378904,0.014276027,0.015503807,0.015668867,0.178950036,0.009522202,0.170425854,0.154441615,0.117980318,0.17928714,0.150873163,0.022732096,0.008376126,0.009944241,0.008024119,0.159898911,0.018016416,0.226827141,0.1169214,0.140077036,0.168414862,0.15157719,0.034502269,0.008881934,0.010560645,0.013225269,0.111096659,0.017915595,0.174871851,0.161636257,0.109121959,0.180642465,0.163923349,0.023206597,0.010413451,0.009993385,0.008322291,0.142042154,0.015826241
montezuma castle,5714329354,0.21922194,0.191335311,0.09235758,0.146642725,0.068936162,0.009057685,0.016943687,0.015742785,0.003928522,0.225404369,0.010429234,0.181546979,0.179817545,0.105165221,0.16824727,0.058719153,0.011643455,0.020537152,0.018915424,0.005319591,0.238728771,0.011359439,0.198121816,0.204323263,0.09082625,0.161471207,0.057726593,0.008672069,0.016085656,0.018633409,0.004176745,0.229919088,0.010043904,0.325958267,0.071304179,0.146957681,0.212888535,0.087812074,0.015607443,0.013223642,0.014033748,0.004667864,0.092405203,0.015141363,0.301286795,0.056853721,0.171714283,0.236840359,0.078424864,0.014749725,0.016245834,0.011911569,0.006567218,0.085566657,0.019838975,0.326281962,0.068569971,0.136792355,0.232369516,0.087233724,0.009647722,0.013353649,0.012543251,0.006293639,0.093282788,0.013631423,0.332567463,0.025728617,0.189287291,0.239333804,0.100438179,0.017952606,0.010920791,0.009512161,0.008767574,0.046093128,0.019398386,0.29768446,0.031926567,0.202543308,0.247663586,0.095417152,0.015711532,0.016233387,0.010041488,0.007705596,0.050926661,0.024146262,0.338409111,0.035335251,0.170013696,0.234850221,0.110052555,0.013178302,0.014020354,0.012336137,0.00749943,0.042932838,0.021372104
cn tower,3826423915,0.113113382,0.093711232,0.133277271,0.374982351,0.106182167,0.003915127,0.009480963,0.003579237,0.003304604,0.150801358,0.007652307,0.09194091,0.073392904,0.1549522,0.385423416,0.102924174,0.006233927,0.010550799,0.002281757,0.002683909,0.160920523,0.00869548,0.11055581,0.083309373,0.14440025,0.406308403,0.107809444,0.005562629,0.007632718,0.002882227,0.000735696,0.123310051,0.007493398,0.149142583,0.038580805,0.153794668,0.430654973,0.107791206,0.003920384,0.00982861,0.00487296,0.002953402,0.091175526,0.007284884,0.128249413,0.032177643,0.164235787,0.447080143,0.103780959,0.004975198,0.010406538,0.004234776,0.003923486,0.08996742,0.010968636,0.118772828,0.033535089,0.160843308,0.461642261,0.104816052,0.001981242,0.008046768,0.004915644,0.00165329,0.093948973,0.009844546,0.165575921,0.027927552,0.1371419,0.467902845,0.096545886,0.002031604,0.007807206,0.00394869,0.002815329,0.08079959,0.007503476,0.146651521,0.027069033,0.140047899,0.466733997,0.099416556,0.002833155,0.007017553,0.003196773,0.002354766,0.096434086,0.008244661,0.144811355,0.022811189,0.126873333,0.493823338,0.10218776,0.001574923,0.007761441,0.004178948,0.002211911,0.086626898,0.007138902
acropolis athens,5473571794,0.166834531,0.195590265,0.103953887,0.208076238,0.045022784,0.012424758,0.023310224,0.012546887,0.008282481,0.206858512,0.017099433,0.143453279,0.161477437,0.13696349,0.215994801,0.042357744,0.016872989,0.026825675,0.008500796,0.012217755,0.195049752,0.040286283,0.155504465,0.192865594,0.107377946,0.189043165,0.052579412,0.013989519,0.022688212,0.010911144,0.009586456,0.212158883,0.033295205,0.203328807,0.102371098,0.129319999,0.269399678,0.074154498,0.015592195,0.026097444,0.011687885,0.009832987,0.128891218,0.029324192,0.196431527,0.06085113,0.168819687,0.295376467,0.068846152,0.016517427,0.026101084,0.007412724,0.011716741,0.100144489,0.047782572,0.19389133,0.099673006,0.120710832,0.267149368,0.075125701,0.01485315,0.025211192,0.008727511,0.011984864,0.138583187,0.044089859,0.258836959,0.05739955,0.128490089,0.285301929,0.078206081,0.017676367,0.02533864,0.013275488,0.008942997,0.103770762,0.022761138,0.256925235,0.041185305,0.140126247,0.29707595,0.076351738,0.016572331,0.022787626,0.011293067,0.012516796,0.096460848,0.028704857,0.251779168,0.047820695,0.131508419,0.286065684,0.08072439,0.017588884,0.024700329,0.011126732,0.010475259,0.108794512,0.029415928
