angel of the north,4846290218,0.000902302,0.001042137,0.00106573,0.001053852,0.000970106,0.000836852,0.000671985,0.000663026,0.001455008,0.001756503,0.001485977,0.000934424,0.000801109,0.000894031,0.000685511,0.000441452,0.000784192,0.000948374,0.00089302,0.000690891,0.0007385,0.000874812,0.000702378,0.000370456,0.001283296,0.001941392,0.001733124,0.000958125,0.000678411,0.00090188,0.000668556,0.000313488,0.000212718,0.000280427,0.000185536,8.86E-05,0.000289581,0.000574492,0.000700044,0.000518354,0.00014134,0.000229754,0.000178832,6.03E-05,0.000236315,0.000331599,0.000228432,6.78E-05,0.000404314,0.000849758,0.000795814,0.000323515,3.54E-05,6.53E-05,2.93E-05,7.32E-06,5.35E-05,0.000257618,0.000402436,0.000159536,2.56E-05,4.48E-05,2.30E-05,3.07E-06
angel of the north,4846290218,0.000902302,0.001042137,0.00106573,0.001053852,0.000970106,0.000836852,0.000671985,0.000663026,0.001455008,0.001756503,0.001485977,0.000934424,0.000801109,0.000894031,0.000685511,0.000441452,0.000784192,0.000948374,0.00089302,0.000690891,0.0007385,0.000874812,0.000702378,0.000370456,0.001283296,0.001941392,0.001733124,0.000958125,0.000678411,0.00090188,0.000668556,0.000313488,0.000212718,0.000280427,0.000185536,8.86E-05,0.000289581,0.000574492,0.000700044,0.000518354,0.00014134,0.000229754,0.000178832,6.03E-05,0.000236315,0.000331599,0.000228432,6.78E-05,0.000404314,0.000849758,0.000795814,0.000323515,3.54E-05,6.53E-05,2.93E-05,7.32E-06,5.35E-05,0.000257618,0.000402436,0.000159536,2.56E-05,4.48E-05,2.30E-05,3.07E-06
big ben,5055989143,0.000750332,0.00072221,0.000627653,0.000588229,0.000570227,0.00052969,0.000448185,0.000520869,0.001341332,0.001327876,0.000992017,0.00060755,0.000464463,0.000446803,0.000386154,0.000340199,0.00048919,0.000488022,0.000517473,0.000501696,0.000883727,0.000820959,0.00062516,0.000354517,0.00162946,0.002219034,0.001665541,0.000763936,0.00035341,0.000521502,0.000332522,0.000200963,9.40E-05,0.00014975,0.000128067,9.10E-05,0.000145191,0.000239168,0.000379311,0.000365318,0.000108579,0.000160281,0.000127905,6.47E-05,0.000671451,0.000828738,0.000511622,0.000193947,0.000643681,0.001470389,0.001261799,0.000487773,1.84E-05,5.45E-05,1.96E-05,4.16E-06,1.89E-05,5.93E-05,0.000121703,5.52E-05,4.85E-05,0.000143754,0.000108897,1.76E-05
hearst castle,3898404671,0.001353795,0.001236964,0.001041543,0.000904572,0.000808934,0.000692917,0.000599526,0.00063843,0.00167537,0.0014785,0.001059126,0.000745646,0.0011243,0.00099237,0.000721335,0.000498289,0.001070439,0.00099823,0.000890227,0.000698992,0.000913605,0.000690335,0.000513014,0.000345878,0.001366057,0.001515514,0.001143827,0.000617772,0.000687046,0.000780317,0.000553586,0.000329325,0.000283403,0.00034181,0.000267002,0.000138818,0.000523887,0.000783304,0.000894731,0.000498874,0.000230986,0.000272589,0.000219686,8.87E-05,0.000371703,0.000361094,0.00022748,0.000100878,0.000642214,0.001009504,0.000813675,0.000343124,9.05E-05,0.000119818,7.13E-05,1.35E-05,9.35E-05,0.000474602,0.000610094,0.000194051,3.56E-05,7.10E-05,4.46E-05,1.26E-05
la madeleine,4290327794,0.00076336,0.000714973,0.000762934,0.000796877,0.000700816,0.000528206,0.000376573,0.000369279,0.001204209,0.001309214,0.001084448,0.00054817,0.000548347,0.000606093,0.00046961,0.000230986,0.000615489,0.000721865,0.000572988,0.000363096,0.000747506,0.000722258,0.00049488,0.000206175,0.001300434,0.001816244,0.001387275,0.00056722,0.000343146,0.000472495,0.000337894,0.000148504,0.000105041,0.000191106,0.000143382,5.54E-05,0.000219815,0.000425653,0.000398207,0.000217558,0.000155198,0.00018779,0.000109685,3.83E-05,0.000432396,0.000409978,0.000205053,6.70E-05,0.00065927,0.001261019,0.000930732,0.000278569,1.97E-05,5.02E-05,2.16E-05,4.26E-06,4.05E-05,0.000130121,0.000169126,6.27E-05,0.000102658,0.000122032,5.97E-05,1.52E-05
pont alexandre iii,4425681477,0.001577717,0.00174978,0.001764956,0.001666385,0.001464238,0.001181643,0.000853696,0.000637594,0.001893816,0.001914954,0.001385377,0.000642198,0.000875747,0.000966624,0.000720594,0.000393231,0.001028428,0.001029003,0.000860003,0.000592786,0.001134079,0.001015394,0.000691525,0.000318796,0.001602827,0.001896074,0.001420727,0.000583717,0.000517737,0.000790924,0.000568777,0.000216655,0.000152583,0.000256713,0.00022284,0.000131392,0.000381491,0.000521376,0.000507082,0.000355794,0.000219902,0.000257142,0.000196656,0.000110608,0.000422601,0.000444247,0.000260186,8.85E-05,0.000353491,0.000735238,0.000545719,0.000200209,2.23E-05,4.27E-05,3.99E-05,2.18E-05,0.000100723,0.000177495,0.000217391,0.000119787,0.000123769,0.000141591,7.50E-05,2.44E-05
neues museum,2761049886,0.001082518,0.000839317,0.000662546,0.00063033,0.000590013,0.000557983,0.000510478,0.000805512,0.001332335,0.000975805,0.000741058,0.000510411,0.000700514,0.000549689,0.000508661,0.000412651,0.000884872,0.000773035,0.000818831,0.000760529,0.000948596,0.000649829,0.00046828,0.000286757,0.001125879,0.001181309,0.000757141,0.000387261,0.000504988,0.000540787,0.00034149,0.000190942,0.000240175,0.000284252,0.00020471,0.00012775,0.000394478,0.000600944,0.00072485,0.000557856,0.000241818,0.000280239,0.000228802,0.000129934,0.000482982,0.000449275,0.00029304,0.000143739,0.000535774,0.000829426,0.000521146,0.000172074,8.88E-05,0.000133375,6.70E-05,2.34E-05,9.70E-05,0.000281788,0.00049706,0.000192758,7.09E-05,0.000134929,8.48E-05,2.78E-05
montezuma castle,5714329354,0.001755138,0.001576834,0.001380829,0.001212822,0.001034114,0.000871791,0.000701961,0.000663059,0.001880912,0.00170909,0.001203397,0.00072349,0.001007973,0.000928975,0.000718528,0.000411034,0.001163659,0.00102604,0.000904639,0.000701365,0.001126374,0.000853211,0.000562753,0.000320944,0.00134507,0.001574552,0.001152636,0.00055941,0.000695583,0.000804297,0.000501805,0.000226263,0.00026499,0.000305475,0.000209686,0.000102498,0.000419624,0.000546613,0.00058968,0.0004655,0.000238039,0.000297587,0.0002082,0.000100922,0.000336761,0.000351051,0.000220628,9.22E-05,0.000397261,0.000772612,0.000656763,0.000277816,4.45E-05,8.44E-05,4.63E-05,1.13E-05,4.32E-05,0.000139762,0.000197447,0.000104598,2.90E-05,5.43E-05,3.77E-05,9.20E-06
cn tower,3826423915,0.000879949,0.001042599,0.001320623,0.001668964,0.001800763,0.001457929,0.00097151,0.000714527,0.00116268,0.002193439,0.001993455,0.00067596,0.000435197,0.000957937,0.00123297,0.00051631,0.000501045,0.000877279,0.001130707,0.000688854,0.000385477,0.000599586,0.000651784,0.000315217,0.001081791,0.002062796,0.001516205,0.000417828,0.000347926,0.001058139,0.000951494,0.000245137,8.52E-05,0.000205681,0.000228757,0.000119967,0.000178784,0.000431447,0.000569784,0.000391841,7.78E-05,0.000150843,0.00018247,0.000108097,0.000142118,0.000239939,0.000231172,6.20E-05,0.000135275,0.000334914,0.000268132,7.42E-05,6.93E-06,2.41E-05,1.62E-05,6.59E-06,2.22E-05,9.74E-05,0.000137641,8.32E-05,1.34E-05,2.73E-05,1.72E-05,4.78E-06
acropolis athens,5473571794,0.001427587,0.001406389,0.001365811,0.001334118,0.001224015,0.001027842,0.000767226,0.000621245,0.001742685,0.001719189,0.001435998,0.000897739,0.000914353,0.001004904,0.000823336,0.000520514,0.001053589,0.001120681,0.001048188,0.000715603,0.001060688,0.000956797,0.000713941,0.000368909,0.001373072,0.001651024,0.001313272,0.000760506,0.000565408,0.000755356,0.000557601,0.000336366,0.00025768,0.000353016,0.000284587,0.000161827,0.000453616,0.000689134,0.000726653,0.000509416,0.00022168,0.000304652,0.000232401,0.000112982,0.00040757,0.000481603,0.000366643,0.000186501,0.000521881,0.000853076,0.000621145,0.0002323,8.75E-05,0.000145806,0.000103126,4.51E-05,6.73E-05,0.00022749,0.000312561,0.00020057,9.36E-05,0.000130905,8.81E-05,2.66E-05
agra fort,4392920377,0.001028144,0.001076316,0.001075678,0.001007505,0.000923099,0.000813672,0.000636624,0.000605546,0.001556167,0.001708498,0.001437634,0.000867031,0.000804756,0.000886717,0.000733977,0.000482817,0.000807024,0.000863062,0.000731321,0.00055591,0.000928046,0.000916888,0.000681581,0.000351566,0.001542518,0.002028485,0.00177721,0.000980985,0.000633535,0.000954459,0.000788135,0.000363509,0.000249494,0.000306343,0.000229339,0.000109421,0.000318612,0.000502605,0.000554067,0.000473575,0.00019771,0.000281329,0.000213284,8.79E-05,0.000389615,0.000478496,0.000308565,9.69E-05,0.000524349,0.00120245,0.001031962,0.000299921,4.85E-05,8.99E-05,4.54E-05,9.36E-06,3.38E-05,0.000188336,0.000376785,0.000186801,3.05E-05,5.36E-05,3.26E-05,5.02E-06
