angel of the north,4846290218,0.313431998,0.262578995,0.002287165,0.226020544,0.171794352,0.000936876,1.025358736,1.113319894,-0.244282727
angel of the north,4846290218,0.313431998,0.262578995,0.002287165,0.226020544,0.171794352,0.000936876,1.025358736,1.113319894,-0.244282727
big ben,5055989143,0.251238119,0.31062804,0.002222756,0.239145417,0.175060321,0.000932532,2.470193437,0.690616442,-0.17429047
hearst castle,3898404671,0.356658505,0.315108925,0.002074903,0.211574328,0.205501279,0.001026951,0.382600174,0.839563316,-0.213835062
la madeleine,4290327794,0.25819417,0.312429287,0.002039932,0.209511291,0.176038994,0.000855087,2.880717499,0.901565494,0.015208713
pont alexandre iii,4425681477,0.247350455,0.228768258,0.001805122,0.198438222,0.154496252,0.00089389,1.776605106,1.194554069,0.301014577
neues museum,2761049886,0.373244228,0.287769423,0.002252404,0.231821294,0.198929425,0.001036378,0.350101149,0.970539922,-0.376839343
montezuma castle,5714329354,0.316558985,0.260910942,0.001870653,0.233300228,0.187671279,0.001047833,1.093234652,1.267811252,0.152665971
cn tower,3826423915,0.253115702,0.176462096,0.002050653,0.183380732,0.121179335,0.000723157,1.486763712,1.909236479,-0.034547404
acropolis athens,5473571794,0.309619621,0.259492991,0.002064249,0.232614719,0.176903063,0.000996605,1.409356461,1.796962646,-0.108112125
agra fort,4392920377,0.275422138,0.284215822,0.002157218,0.212668168,0.175611183,0.000918186,1.6726665,1.002665473,-0.157572705
albert memorial,4866000778,0.337877384,0.334575981,0.001851379,0.238280651,0.208745224,0.000981086,1.001943865,0.80961851,0.268047223
altes museum,5008351877,0.337821075,0.263986555,0.001996061,0.233742705,0.173655985,0.001010091,0.804533865,2.055231543,0.015667696
amiens cathedral,5437354072,0.309217638,0.370138098,0.001745722,0.211534922,0.218148781,0.001015865,1.161824205,0.623663075,0.382906119
angkor wat,4073972013,0.313947106,0.288574767,0.001983351,0.207497339,0.184343646,0.00102461,0.445424783,0.89260985,-0.025127302
ara pacis,4096302373,0.36054514,0.340900743,0.002096386,0.213151751,0.195514183,0.000970087,0.944394564,0.93280574,-0.099711317
arc de triomphe,3860640634,0.257280432,0.387706511,0.001938814,0.216842036,0.221497905,0.000955748,4.61531345,3.249789446,0.130974513
aztec ruins,6334323936,0.291490175,0.390402176,0.001914611,0.240655116,0.209213743,0.001019539,1.485454896,0.394640612,0.238129256
berlin cathedral,5359660879,0.390556943,0.26467279,0.002339068,0.223404564,0.182438032,0.001004827,-0.127279708,1.121853493,-0.34373689
bok tower gardens,4455028107,0.311493942,0.312551382,0.001739245,0.253805037,0.198550561,0.000969778,1.126234432,0.960448247,0.365139246
brandenburg gate,4213763167,0.308953288,0.260424848,0.002074403,0.221374738,0.182249789,0.000956375,1.235763242,1.177974827,0.080233731
cabrillo,5528327227,0.425616675,0.291854042,0.002245368,0.190077898,0.183902082,0.000964201,-0.708222695,0.926637552,-0.391483887
casa batllo,5518669862,0.354271831,0.34060193,0.001891991,0.253779996,0.241102277,0.001036857,0.726909629,0.85466805,0.171261534
casa rosada,3752998210,0.424356941,0.293097615,0.001964862,0.227426361,0.190599551,0.000927057,-0.445580881,1.034798315,0.095525775
castillo de san marcos,5293494145,0.307288258,0.28094261,0.00163381,0.243985117,0.194313188,0.001014566,1.376842689,1.248814222,0.631578409
chartres cathedral,4420346273,0.29718884,0.292651126,0.001983158,0.252719716,0.190477549,0.001067752,1.066986245,1.097477649,0.112987629
chichen itza,5424923967,0.347789407,0.368868867,0.00202209,0.245957125,0.225617007,0.001012968,0.410922433,0.494597458,0.049305945
christ the redeemer rio,4690213664,0.322389373,0.296753406,0.001994437,0.228570498,0.179924446,0.000978863,1.603006628,1.905040334,0.07445021
civic center san francisco,5411170768,0.243347035,0.296577925,0.002069256,0.216292315,0.1816643,0.000893147,2.552448717,0.935835581,-0.038442966
cologne cathedral,5370563700,0.229999077,0.28280819,0.001855127,0.192094535,0.165577876,0.000840368,3.176637205,1.234590064,0.157543845
colosseum,6792981068,0.392100186,0.217091539,0.002195455,0.223833736,0.16433741,0.001099988,0.075155441,1.871385423,-0.339298246
